moisture,latitude,longitude,sampled_at
0.1000,50.452531,30.501439,2026-06-11T06:00:00Z
0.8100,50.452622,30.502104,2026-06-11T06:04:00Z
0.3114,50.451011,30.503086,2026-06-11T06:08:00Z
0.6222,50.451505,30.500269,2026-06-11T06:12:00Z
0.4211,50.450361,30.500810,2026-06-11T06:16:00Z
0.5564,50.451643,30.501275,2026-06-11T06:20:00Z
0.4788,50.452991,30.502444,2026-06-11T06:24:00Z
0.5275,50.453065,30.502399,2026-06-11T06:28:00Z
0.6379,50.451683,30.500120,2026-06-11T06:32:00Z
0.4317,50.452782,30.502210,2026-06-11T06:36:00Z
0.5046,50.452171,30.501480,2026-06-11T06:40:00Z
0.3161,50.450969,30.503008,2026-06-11T06:44:00Z
0.3881,50.452229,30.502838,2026-06-11T06:48:00Z
0.3331,50.451236,30.502713,2026-06-11T06:52:00Z
0.5037,50.452843,30.502009,2026-06-11T06:56:00Z
0.6123,50.450736,30.499981,2026-06-11T07:00:00Z
0.7641,50.452503,30.500357,2026-06-11T07:04:00Z
0.6695,50.451964,30.500637,2026-06-11T07:08:00Z
0.3488,50.452480,30.503113,2026-06-11T07:12:00Z
0.5503,50.452491,30.501020,2026-06-11T07:16:00Z
0.5797,50.450509,30.500504,2026-06-11T07:20:00Z
0.6036,50.451663,30.500946,2026-06-11T07:24:00Z
0.5589,50.451078,30.500735,2026-06-11T07:28:00Z
0.1902,50.451204,30.503257,2026-06-11T07:32:00Z
0.3644,50.450103,30.500966,2026-06-11T07:36:00Z
0.4999,50.451262,30.501439,2026-06-11T07:40:00Z
0.4756,50.450231,30.500978,2026-06-11T07:44:00Z
0.3867,50.452722,30.503056,2026-06-11T07:48:00Z
0.4137,50.452259,30.501811,2026-06-11T07:52:00Z
0.3583,50.452059,30.502716,2026-06-11T07:56:00Z
0.5895,50.451922,30.500283,2026-06-11T08:00:00Z
0.6183,50.452350,30.501255,2026-06-11T08:04:00Z
0.5413,50.450827,30.500519,2026-06-11T08:08:00Z
0.3398,50.450708,30.501613,2026-06-11T08:12:00Z
0.1937,50.451162,30.502962,2026-06-11T08:16:00Z
0.3352,50.450824,30.501619,2026-06-11T08:20:00Z
0.3497,50.450444,30.502177,2026-06-11T08:24:00Z
0.5480,50.451514,30.501365,2026-06-11T08:28:00Z
0.6753,50.452690,30.500851,2026-06-11T08:32:00Z
0.5253,50.450691,30.499984,2026-06-11T08:36:00Z
0.2496,50.450231,30.501925,2026-06-11T08:40:00Z
0.4283,50.451765,30.501592,2026-06-11T08:44:00Z
0.6164,50.452045,30.500530,2026-06-11T08:48:00Z
0.3146,50.452105,30.503188,2026-06-11T08:52:00Z
0.3353,50.452432,30.502722,2026-06-11T08:56:00Z
0.5937,50.453078,30.501644,2026-06-11T09:00:00Z
0.6972,50.452208,30.500439,2026-06-11T09:04:00Z
0.5246,50.452687,30.501218,2026-06-11T09:08:00Z
0.3228,50.452118,30.502520,2026-06-11T09:12:00Z
0.5369,50.452162,30.501960,2026-06-11T09:16:00Z
0.3294,50.451267,30.502097,2026-06-11T09:20:00Z
0.3433,50.451243,30.502046,2026-06-11T09:24:00Z
0.5762,50.451213,30.500840,2026-06-11T09:28:00Z
0.5217,50.450983,30.500174,2026-06-11T09:32:00Z
0.2864,50.450388,30.501809,2026-06-11T09:36:00Z
0.2263,50.451548,30.503164,2026-06-11T09:40:00Z
0.4497,50.452337,30.501945,2026-06-11T09:44:00Z
0.2867,50.450359,30.501800,2026-06-11T09:48:00Z
0.5257,50.451481,30.500596,2026-06-11T09:52:00Z
0.5114,50.452573,30.501669,2026-06-11T09:56:00Z
0.3659,50.451707,30.503019,2026-06-11T10:00:00Z
0.4594,50.449992,30.500978,2026-06-11T10:04:00Z
0.4187,50.450542,30.501341,2026-06-11T10:08:00Z
0.4704,50.452222,30.502325,2026-06-11T10:12:00Z
0.4818,50.452803,30.502525,2026-06-11T10:16:00Z
0.5929,50.451327,30.500921,2026-06-11T10:20:00Z
0.5492,50.450779,30.499999,2026-06-11T10:24:00Z
0.3918,50.450292,30.501477,2026-06-11T10:28:00Z
0.2355,50.450891,30.502931,2026-06-11T10:32:00Z
0.7208,50.451930,30.500176,2026-06-11T10:36:00Z
0.3091,50.450448,30.501847,2026-06-11T10:40:00Z
0.5694,50.450939,30.500773,2026-06-11T10:44:00Z
0.5574,50.452771,30.501930,2026-06-11T10:48:00Z
0.4786,50.450132,30.500023,2026-06-11T10:52:00Z
0.4988,50.450079,30.500231,2026-06-11T10:56:00Z
0.6567,50.451884,30.500087,2026-06-11T11:00:00Z
0.4744,50.451520,30.501678,2026-06-11T11:04:00Z
0.4253,50.452637,30.502814,2026-06-11T11:08:00Z
0.5105,50.451634,30.501611,2026-06-11T11:12:00Z
0.5926,50.452927,30.501417,2026-06-11T11:16:00Z
0.6102,50.452312,30.501324,2026-06-11T11:20:00Z
0.2348,50.451400,30.502776,2026-06-11T11:24:00Z
0.3333,50.451710,30.502267,2026-06-11T11:28:00Z
